,RL_001 Lockyer Creek at Tarampa,RL_002 Wivenhoe Dam Tailwater,RL_003 Lockyer Creek at Lyons Bridge,RL_004 Brisbane River at Lowood Pump Station,RL_005 Brisbane River at Savages Crossing,RL_006 Brisbane River Upstream Mt Crosby Weir,RL_007 Brisbane River downstream Mt Crosby Weir,RL_008 Brisbane River at Moggill,RL_009 Brisbane River at Jindalee,RL_010 Brisbane River at Tennyson,RL_011 Brisbane River at Fairfield,RL_012 Brisbane River at Toowong,RL_013 Brisbane River at Port Office,RL_014 Brisbane City Gauge,RL_015 Brisbane River at Hawthorne,RL_016 Brisbane River at Gateway Bridge,RL_017 Warrill Creek at Amberley,RL_018 Purga Creek at Loamside,RL_019 Bremer River at Walloon,RL_020 Bremer River at Three Mile Bridge,RL_021 Bremer River at One Mile Bridge,RL_022 Bremer River at David Trumpy Bridge,RL_023 Bremer River at Hancock Bridge,RL_024 Bremer River at Bundamba Confluence,RL_025 Bremer River at Warrego Highway,RL_026 Bundamba Creek at Hanlon St Alert,RL_027 Woogaroo Creek at Brisbane Road Alert,RL_028 Oxley Creek at Rocklea,Location_29,AEP
1-in-2 AEP (0.500000),0.0,0.0,0.0,0.0,58.851,52.623,52.435,-422.041,-894.081,-1229.586,-1349.971,-1471.975,-1636.896,-1645.217,-1869.003,-2309.791,17.629,6.567,44.593,44.192,43.309,47.818,45.489,-101.931,-141.373,-99.174,-574.653,92.129,-5.055,0.5
1-in-5 AEP (0.200000),565.944,705.535,567.616,1040.173,1075.063,1074.353,1070.556,1846.207,1932.811,2121.885,2170.917,2233.351,2319.055,2324.875,2452.655,2834.918,599.123,300.125,726.706,698.173,1318.492,1274.427,1301.721,1254.586,1252.865,1247.173,1851.99,232.586,-24.026,0.2
1-in-10 AEP (0.100000),1072.008,940.016,1013.79,1844.085,1880.644,1914.792,1908.435,2964.312,2995.263,3133.339,3149.515,3172.224,3220.797,3224.61,3419.266,4050.265,980.87,470.197,1124.501,1023.557,1929.146,1886.74,1910.143,1906.277,2034.864,1890.113,2940.237,411.857,54.374,0.1
1-in-20 AEP (0.050000),1936.405,1555.437,1873.88,2780.753,2844.021,3008.614,3012.716,4339.874,4481.575,4738.606,4748.468,4765.2,4782.981,4785.174,4908.843,5230.429,1104.725,543.525,1733.642,1367.937,2351.081,2271.345,2323.303,2227.281,2214.092,2212.122,4317.125,603.531,100.183,0.05
1-in-50 AEP (0.020000),3381.61,3756.808,3259.859,5457.334,5448.943,5333.527,5348.664,6862.25,6770.458,6838.908,6841.586,6838.77,6864.735,6866.995,6937.195,7139.408,1985.881,632.613,2352.9,1865.036,3264.268,3223.657,3242.026,3203.215,3176.028,3190.114,6814.213,654.331,117.875,0.02
1-in-100 AEP (0.010000),4269.166,6922.442,4174.165,9758.541,9284.483,8653.775,8672.354,9948.966,9476.207,9198.279,9191.188,9148.889,9175.958,9179.032,9252.478,9389.623,2165.754,1075.502,3064.351,2536.896,4010.447,3802.33,3873.21,3628.047,3402.038,3618.924,9805.328,778.902,142.246,0.01
1-in-200 AEP (0.005000),5749.886,10156.453,5647.41,13037.039,12116.578,11154.234,11170.113,11887.157,11312.347,10975.559,10934.402,10929.086,10977.471,10986.822,11074.426,11277.775,2465.439,1175.993,3612.449,2890.584,4921.315,4818.096,4889.271,4548.868,4274.091,4547.831,11662.125,-799.247,-244.508,0.005
1-in-500 AEP (0.002000),8090.307,12394.372,7989.227,15785.146,14650.505,13510.67,13546.371,14737.868,13844.798,13285.855,13209.654,13192.464,13211.627,13216.909,13273.957,13391.183,2950.056,1254.07,4271.737,3564.89,5774.185,5613.12,5691.665,5448.667,5275.482,5435.482,14366.666,1015.931,-324.591,0.002
"1-in-2,000 AEP (0.000500)",11193.545,16335.905,11097.548,20368.051,19541.055,18805.371,18780.777,19493.996,18093.775,17252.211,17219.578,17203.832,17186.385,17192.061,17165.557,17168.389,3810.294,1043.268,4320.591,3494.779,7050.295,6933.372,7033.657,6436.704,6171.764,6432.201,18945.109,-1684.807,-618.984,0.0005
"1-in-10,000 AEP (0.000100)",15020.668,21778.986,14927.989,29326.227,27706.389,26839.684,26810.41,28436.492,27234.479,25824.127,25785.395,25742.898,25695.027,25702.051,25712.033,25842.775,4610.066,1781.206,7256.253,6576.175,9420.659,9301.748,9367.646,9150.752,9116.632,9140.614,27856.494,-3354.179,-1511.593,0.0001
"1-in-99,999 AEP (0.000010)",34731.461,44225.934,34616.164,52602.59,51838.668,50690.59,50648.051,57165.547,56625.219,56108.039,56095.016,56074.871,55981.535,55990.578,55999.832,55980.984,7042.618,2136.632,9187.551,7863.648,13986.347,13467.01,13807.521,11647.172,10471.084,11652.436,56931.875,-7325.706,-3607.726,1e-05
